0,1,"Tallapoosa County, AL","1.093 (0.989,~1.196)","0.752 (0.217,~0.910)","8,277 (20.4)",855,"40,497",9.24\%
942,1,"Carroll County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (1.6),314,"28,020",0.96\%
943,1,"Chester County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (1.7),221,"17,276",0.90\%
944,1,"Cocke County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (0.8),475,"35,774",0.42\%
945,1,"Coffee County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (0.8),545,"55,700",0.55\%
946,1,"Crockett County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",734 (5.1),269,"14,328",1.86\%
947,1,"Cumberland County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",880 (1.5),457,"59,673",1.31\%
948,1,"Decatur County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (3.8),213,"11,706",1.41\%
949,1,"DeKalb County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (1.5),360,"20,138",0.56\%
950,1,"Fayette County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,174 (2.9)",698,"40,507",1.15\%
951,1,"Franklin County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (1.4),330,"41,890",1.21\%
952,1,"Gibson County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",734 (1.5),717,"49,045",0.70\%
953,1,"Giles County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,908 (6.5)",381,"29,503",3.41\%
954,1,"Greene County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,174 (1.7)",492,"69,087",1.63\%
955,1,"Grundy County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (2.2),114,"13,346",1.75\%
956,1,"Hancock County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (4.5),80,"6,549",2.50\%
957,1,"Hardeman County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","2,496 (9.9)",917,"25,220",1.85\%
958,1,"Hardin County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,174 (4.6)",471,"25,776",1.70\%
959,1,"Haywood County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",880 (5.1),500,"17,335",1.20\%
960,1,"Henry County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",0 (0.0),288,"32,358",0.00\%
961,1,"Humphreys County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (2.4),124,"18,486",2.42\%
962,1,"Jackson County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",146 (1.2),127,"11,758",0.79\%
963,1,"Jefferson County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (1.1),568,"54,012",0.70\%
964,1,"Lauderdale County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,174 (4.5)",508,"25,825",1.57\%
965,1,"Lawrence County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",880 (2.0),562,"43,734",1.07\%
966,1,"Lewis County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",146 (1.2),75,"12,086",1.33\%
967,1,"Lincoln County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",146 (0.4),302,"34,117",0.33\%
968,1,"Loudon County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (0.8),742,"53,054",0.40\%
969,1,"McMinn County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","2,936 (5.5)",547,"53,285",3.66\%
970,1,"McNairy County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",734 (2.8),378,"25,832",1.32\%
971,1,"Macon County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,908 (7.9)",860,"24,265",1.51\%
972,1,"Marion County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (2.1),224,"28,575",1.79\%
973,1,"Marshall County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (1.3),301,"33,683",1.00\%
974,1,"Monroe County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,321 (2.9)",444,"46,357",2.03\%
975,1,"Morgan County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",146 (0.7),122,"21,579",0.82\%
976,1,"Obion County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (1.9),565,"30,267",0.71\%
977,1,"Overton County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",146 (0.7),195,"22,068",0.51\%
978,1,"Pickett County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",146 (2.9),35,"5,082",2.86\%
979,1,"Polk County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",440 (2.6),206,"16,898",1.46\%
980,1,"Putnam County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","2,642 (3.4)","1,767","78,843",1.02\%
981,1,"Rhea County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (0.9),536,"33,044",0.37\%
982,1,"Roane County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (0.6),475,"53,140",0.42\%
983,1,"Smith County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (2.9),452,"19,942",0.88\%
984,1,"Tipton County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)","1,468 (2.4)","1,208","61,581",0.83\%
985,1,"Warren County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (1.4),530,"40,878",0.75\%
986,1,"Wayne County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",293 (1.8),226,"16,558",0.88\%
987,1,"Weakley County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",587 (1.8),451,"33,415",0.89\%
988,1,"White County, TN","3.637 (3.488,~3.803)","1.226 (1.175,~1.271)",734 (2.7),293,"27,107",1.71\%
989,1,"Anderson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,342 (4.0)","2,402","58,057",0.58\%
990,1,"Andrews County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (6.5)",297,"18,128",2.36\%
991,1,"Aransas County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,509 (10.5)",173,"23,792",8.67\%
992,1,"Atascosa County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,011 (6.0)",437,"50,310",4.12\%
993,1,"Austin County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (2.2),242,"29,989",1.65\%
994,1,"Bailey County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (9.5),171,"7,027",2.34\%
995,1,"Bandera County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (2.2),91,"22,824",3.30\%
996,1,"Bee County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,840 (5.6)","1,089","32,587",1.01\%
997,1,"Blanco County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (7.1),98,"11,702",5.10\%
998,1,"Bosque County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (1.8),161,"18,691",1.24\%
999,1,"Briscoe County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (11.0),12,"1,516",8.33\%
1000,1,"Brooks County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (7.1),113,"7,114",2.65\%
1001,1,"Brown County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,677 (7.1)",391,"37,924",4.09\%
1002,1,"Burleson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (5.5)",242,"18,389",2.48\%
1003,1,"Calhoun County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (3.9),544,"21,561",0.92\%
1004,1,"Callahan County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (3.6),46,"13,994",6.52\%
1005,1,"Camp County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (7.7)",233,"13,033",2.58\%
1006,1,"Cass County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,338 (4.4)",176,"30,119",4.55\%
1007,1,"Castro County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (8.7),200,"7,665",2.00\%
1008,1,"Chambers County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (1.2),951,"42,454",0.32\%
1009,1,"Cherokee County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (2.2)","1,110","52,592",0.63\%
1010,1,"Clay County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.6),40,"10,456",2.50\%
1011,1,"Coke County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (9.9),42,"3,370",4.76\%
1012,1,"Colorado County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (1.6),281,"21,217",0.71\%
1013,1,"Comanche County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (3.7),142,"13,534",2.11\%
1014,1,"Concho County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",0 (0.0),28,"4,276",0.00\%
1015,1,"Cottle County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (24.1),18,"1,389",11.11\%
1016,1,"Crane County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (7.0),70,"4,794",2.86\%
1017,1,"Crockett County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (14.3),155,"3,499",1.94\%
1018,1,"Crosby County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (2.9),63,"5,779",1.59\%
1019,1,"Culberson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (15.2),17,"2,204",11.76\%
1020,1,"Dallam County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (11.6),190,"7,200",2.63\%
1021,1,"Dawson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (5.3),145,"12,619",2.76\%
1022,1,"Deaf Smith County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,844 (15.2)",667,"18,760",2.55\%
1023,1,"DeWitt County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,179 (15.7)",693,"20,187",2.74\%
1024,1,"Dickens County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (7.4),5,"2,249",20.00\%
1025,1,"Dimmit County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (4.9),150,"10,308",2.00\%
1026,1,"Duval County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (9.0)",176,"11,212",3.41\%
1027,1,"Eastland County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (0.9),73,"18,322",1.37\%
1028,1,"Erath County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (2.0),527,"42,446",0.95\%
1029,1,"Fannin County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,338 (3.8)",246,"35,286",3.25\%
1030,1,"Fisher County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (4.4),28,"3,839",3.57\%
1031,1,"Floyd County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (17.2)",89,"5,837",6.74\%
1032,1,"Franklin County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (3.1),92,"10,766",2.17\%
1033,1,"Frio County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (4.2),512,"19,816",0.98\%
1034,1,"Gaines County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (2.4),161,"20,901",1.86\%
1035,1,"Garza County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (7.6),99,"6,578",3.03\%
1036,1,"Gillespie County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (3.7)",175,"26,804",3.43\%
1037,1,"Goliad County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (8.8),89,"7,584",4.49\%
1038,1,"Gonzales County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,505 (7.2)",683,"20,826",1.32\%
1039,1,"Gray County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (1.5),215,"21,895",0.93\%
1040,1,"Grimes County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,848 (13.6)",876,"28,360",2.63\%
1041,1,"Guadalupe County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","9,203 (5.6)","1,679","163,694",3.28\%
1042,1,"Hale County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","4,350 (12.9)","1,285","33,830",2.02\%
1043,1,"Hall County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (5.5),11,"3,028",9.09\%
1044,1,"Hamilton County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (5.9),83,"8,484",3.61\%
1045,1,"Hansford County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (6.1),73,"5,463",2.74\%
1046,1,"Hardin County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,509 (4.4)",973,"57,207",1.54\%
1047,1,"Hartley County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",0 (0.0),85,"5,619",0.00\%
1048,1,"Henderson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,007 (2.4)",641,"82,299",1.87\%
1049,1,"Hill County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (3.2)",321,"36,354",2.18\%
1050,1,"Hockley County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (2.9),206,"22,980",1.94\%
1051,1,"Hood County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,673 (2.8)",528,"60,537",1.89\%
1052,1,"Hopkins County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (0.9),199,"36,810",1.01\%
1053,1,"Houston County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (5.1)",314,"23,169",2.23\%
1054,1,"Howard County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (2.8)",171,"36,459",3.51\%
1055,1,"Hudspeth County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (7.0),23,"4,795",8.70\%
1056,1,"Hunt County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,513 (3.6)","1,182","96,493",1.78\%
1057,1,"Hutchinson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (2.4),126,"21,198",2.38\%
1058,1,"Jackson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (7.9)",406,"14,874",1.72\%
1059,1,"Jasper County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,840 (5.1)",304,"35,872",3.62\%
1060,1,"Jim Hogg County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (3.2),62,"5,248",1.61\%
1061,1,"Jim Wells County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,509 (6.1)",724,"40,822",2.07\%
1062,1,"Karnes County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (6.4)",632,"15,650",0.95\%
1063,1,"Kendall County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (1.5),158,"45,641",2.53\%
1064,1,"Kenedy County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (37.9),6,442,16.67\%
1065,1,"Kerr County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (1.9)",398,"52,405",1.51\%
1066,1,"Kleberg County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,338 (4.3)",434,"31,129",1.84\%
1067,1,"Lamar County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,011 (6.1)",644,"49,728",2.80\%
1068,1,"Lamb County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,840 (14.0)",226,"13,158",4.87\%
1069,1,"Lampasas County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (2.4),104,"21,229",2.88\%
1070,1,"La Salle County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (4.4),362,"7,531",0.55\%
1071,1,"Lavaca County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,844 (14.1)",627,"20,110",2.71\%
1072,1,"Leon County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (1.9),143,"17,270",1.40\%
1073,1,"Limestone County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (2.1),235,"23,519",1.28\%
1074,1,"Live Oak County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (2.8),230,"12,166",0.87\%
1075,1,"Llano County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (0.8),89,"21,646",1.12\%
1076,1,"Lynn County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (11.4),67,"5,877",5.97\%
1077,1,"McCulloch County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (2.1),48,"7,987",2.08\%
1078,1,"Madison County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (2.3),666,"14,422",0.30\%
1079,1,"Marion County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,338 (13.5)",133,"9,928",6.02\%
1080,1,"Martin County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (14.5),55,"5,753",9.09\%
1081,1,"Matagorda County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","4,517 (12.4)",740,"36,552",3.65\%
1082,1,"Maverick County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","7,195 (12.3)","2,321","58,485",1.85\%
1083,1,"Medina County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","4,350 (8.5)",811,"50,921",3.21\%
1084,1,"Milam County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (2.0),333,"25,131",0.90\%
1085,1,"Montague County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (0.9),70,"19,596",1.43\%
1086,1,"Moore County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,175 (10.1)","1,050","21,485",1.24\%
1087,1,"Morris County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (4.1),116,"12,339",2.59\%
1088,1,"Navarro County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,338 (2.7)",856,"49,565",0.93\%
1089,1,"Newton County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (4.9),93,"13,746",4.30\%
1090,1,"Nolan County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (3.4),134,"14,751",2.24\%
1091,1,"Ochiltree County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (3.4),95,"9,947",2.11\%
1092,1,"Oldham County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (7.9),14,"2,131",7.14\%
1093,1,"Palo Pinto County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (4.1)",265,"28,875",2.64\%
1094,1,"Panola County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,011 (13.0)",291,"23,148",6.19\%
1095,1,"Parker County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,179 (2.3)","1,225","138,371",1.55\%
1096,1,"Parmer County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (11.9)",340,"9,864",2.06\%
1097,1,"Pecos County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.1),243,"15,673",0.41\%
1098,1,"Polk County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,007 (4.0)",748,"50,031",1.60\%
1099,1,"Rains County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.4),51,"12,159",1.96\%
1100,1,"Randall County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,513 (2.6)","1,725","136,271",1.22\%
1101,1,"Reagan County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (13.4),63,"3,741",4.76\%
1102,1,"Red River County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,840 (15.1)",136,"12,175",8.09\%
1103,1,"Reeves County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (5.3),146,"15,695",3.42\%
1104,1,"Robertson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (1.9),234,"17,284",0.85\%
1105,1,"Runnels County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.6),124,"10,234",0.81\%
1106,1,"Rusk County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (0.6),369,"54,450",0.54\%
1107,1,"Sabine County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,003 (9.5)",51,"10,589",11.76\%
1108,1,"San Augustine County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,840 (22.4)",162,"8,232",6.79\%
1109,1,"San Jacinto County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,338 (4.7)",177,"28,719",4.52\%
1110,1,"Schleicher County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (5.8),36,"2,895",2.78\%
1111,1,"Scurry County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.0),481,"16,866",0.21\%
1112,1,"Shelby County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,011 (11.8)",401,"25,418",4.49\%
1113,1,"Stephens County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (5.3),42,"9,433",7.14\%
1114,1,"Sutton County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (4.5),62,"3,758",1.61\%
1115,1,"Swisher County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (4.5),80,"7,462",2.50\%
1116,1,"Terry County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (2.7),143,"12,287",1.40\%
1117,1,"Titus County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","2,509 (7.6)","1,289","33,033",1.16\%
1118,1,"Trinity County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",669 (4.5),156,"14,740",2.56\%
1119,1,"Tyler County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (1.5),116,"21,696",1.72\%
1120,1,"Upshur County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (0.8),221,"41,260",0.90\%
1121,1,"Upton County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (4.6),16,"3,671",6.25\%
1122,1,"Uvalde County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,673 (6.2)",543,"26,846",1.84\%
1123,1,"Van Zandt County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (0.9),375,"56,019",0.80\%
1124,1,"Walker County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","6,860 (9.5)","3,005","72,480",1.36\%
1125,1,"Waller County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (1.6),444,"53,126",1.13\%
1126,1,"Ward County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.4),89,"11,720",1.12\%
1127,1,"Washington County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","6,525 (18.6)",515,"35,108",7.57\%
1128,1,"Wharton County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","4,183 (10.1)",711,"41,619",3.52\%
1129,1,"Wilbarger County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (1.3),69,"12,820",1.45\%
1130,1,"Willacy County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","4,852 (22.6)",693,"21,515",4.18\%
1131,1,"Wilson County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","3,179 (6.3)",439,"50,224",4.33\%
1132,1,"Winkler County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",167 (2.2),84,"7,720",1.19\%
1133,1,"Wise County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)","1,171 (1.7)",409,"68,305",1.71\%
1134,1,"Yoakum County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",501 (5.8),102,"8,591",2.94\%
1135,1,"Young County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (4.6),169,"18,045",2.96\%
1136,1,"Zapata County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",334 (2.4),172,"14,190",1.16\%
1137,1,"Zavala County, TX","3.777 (3.608,~3.943)","1.235 (1.172,~1.281)",836 (7.0),210,"11,983",2.38\%
1138,1,"Baker County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",551 (1.9),907,"28,355",0.44\%
1139,1,"Bradford County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",551 (2.0),494,"27,732",0.81\%
1140,1,"Calhoun County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",965 (6.6),475,"14,587",1.47\%
1141,1,"Columbia County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)","2,068 (2.9)","2,873","70,503",0.52\%
1142,1,"DeSoto County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)","2,206 (5.9)","1,351","37,489",1.18\%
1143,1,"Dixie County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",551 (3.3),547,"16,700",0.73\%
1144,1,"Flagler County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)","1,793 (1.6)","1,070","112,067",1.21\%
1145,1,"Franklin County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",275 (2.4),418,"11,736",0.48\%
1146,1,"Gilchrist County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",413 (2.3),363,"18,256",0.83\%
1147,1,"Glades County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",413 (3.0),401,"13,724",0.75\%
1148,1,"Gulf County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",275 (1.7),648,"16,164",0.31\%
1149,1,"Hamilton County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",551 (3.9),618,"14,310",0.65\%
1150,1,"Hardee County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",965 (3.5),963,"27,245",0.73\%
1151,1,"Hendry County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)","5,241 (12.6)","1,762","41,556",2.16\%
1152,1,"Holmes County, FL","3.647 (2.553,~4.073)","1.276 (1.218,~1.330)",275 (1.4),505,"19,477",0.40\%
